Denmark hold off Czech rally to keep Euro 2020 dream alive,https://www.thehindu.com/sport/football/denmark-hold-off-czech-rally-to-keep-euro-2020-dream-alive/article35128001.ece,Sun, 04 Jul 2021 07:39:19 +0530
Brazil hangs on against Chile,https://www.thehindu.com/sport/football/brazil-hangs-on-against-chile/article35125807.ece,Sat, 03 Jul 2021 22:07:55 +0530
Lionel Messi’s Argentina heavy favorite vs Ecuador in Copa quarters,https://www.thehindu.com/sport/football/lionel-messis-argentina-heavy-favorite-vs-ecuador-in-copa-quarters/article35114711.ece,Sat, 03 Jul 2021 13:03:38 +0530
Italy edges Belgium in thriller to reach Euro 2020 semis,https://www.thehindu.com/sport/football/italy-edges-belgium-in-thriller-to-reach-euro-2020-semis/article35111105.ece,Sat, 03 Jul 2021 03:28:14 +0530
Spain beats Switzerland in penalties to reach Euro semi-finals,https://www.thehindu.com/sport/football/spain-beats-switzerland-in-penalties-to-reach-euro-semi-finals/article35110196.ece,Sat, 03 Jul 2021 00:36:03 +0530
Euro 2020 | England the favourite but Ukraine has the belief,https://www.thehindu.com/sport/football/euro-2020-england-the-favourite-but-ukraine-has-the-belief/article35108441.ece,Fri, 02 Jul 2021 22:56:41 +0530
Copa America | Neymar, Sanchez back for knockouts ,https://www.thehindu.com/sport/football/copa-america-neymar-sanchez-back-for-knockouts/article35086382.ece,Thu, 01 Jul 2021 22:40:49 +0530
Euro Cup | Switzerland looks to spring a surprise on Spain,https://www.thehindu.com/sport/football/euro-cup-switzerland-looks-to-spring-a-surprise-on-spain/article35086713.ece,Thu, 01 Jul 2021 23:00:13 +0530
Euro 2020 | Ukraine scores late in extra time to beat Sweden,https://www.thehindu.com/sport/football/euro-2020-ukraine-scores-late-in-extra-time-to-beat-sweden/article35046687.ece,Wed, 30 Jun 2021 07:36:53 +0530
England beats Germany 2-0 to move into Euro last eight,https://www.thehindu.com/sport/football/england-beats-germany-2-0-to-move-into-euro-last-eight/article35046291.ece,Wed, 30 Jun 2021 07:36:33 +0530
Argentina seals top spot in group,https://www.thehindu.com/sport/football/argentina-seals-top-spot-in-group/article35042873.ece,Wed, 30 Jun 2021 07:36:45 +0530
Messi breaks Mascherano's record for most Argentina caps,https://www.thehindu.com/sport/football/messi-breaks-mascheranos-record-for-most-argentina-caps/article35029223.ece,Tue, 29 Jun 2021 06:51:16 +0530
Switzerland beats world champions France on penalties to reach Euro 2020 quarters,https://www.thehindu.com/sport/football/switzerland-beats-world-champions-france-on-penalties-to-reach-euro-2020-quarters/article35028508.ece,Tue, 29 Jun 2021 07:31:56 +0530
